name,number,from,to,departure_time,arrival_time,price,duration_hours,link,
Air India,AI9842,Jaipur,Chennai,05:15,08:15,10179,3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI613,Srinagar,Chennai,06:45,08:33,4593,1.8,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
SpiceJet,SP2379,Jaipur,Delhi,14:45,17:15,9662,2.5,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI6101,Srinagar,Lucknow,04:30,07:54,10533,3.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK6015,Mumbai,Kolkata,22:30,01:06,8460,2.6,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI9925,Lucknow,Delhi,08:00,10:42,10694,2.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
IndiGo,IN602,Chennai,Mumbai,14:00,15:54,5164,1.9,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI7909,Hyderabad,Pune,16:30,18:54,8668,2.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI5869,Kochi,Srinagar,18:45,19:51,3573,1.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP6028,Mumbai,Chandigarh,22:30,01:36,9575,3.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
SpiceJet,SP8821,Goa,Mumbai,13:45,16:57,11539,3.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI9368,Srinagar,Goa,05:45,07:21,6188,1.6,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN8543,Lucknow,Srinagar,00:15,01:21,4349,1.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
SpiceJet,SP1019,Chennai,Srinagar,07:45,10:09,8604,2.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
AirAsia India,AI6306,Ahmedabad,Kochi,04:00,06:12,5779,2.2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI5449,Srinagar,Mumbai,21:00,00:00,11286,3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI4216,Chennai,Pune,21:30,23:54,9132,2.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI5503,Delhi,Kolkata,03:00,05:12,8452,2.2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK5185,Kolkata,Ahmedabad,07:00,08:54,7075,1.9,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI4161,Chandigarh,Chennai,13:15,16:27,10364,3.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI2660,Srinagar,Guwahati,10:15,12:45,8120,2.5,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI8297,Chandigarh,Srinagar,02:45,04:15,5358,1.5,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
IndiGo,IN2010,Chennai,Pune,23:15,01:51,9713,2.6,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
SpiceJet,SP6231,Pune,Lucknow,22:15,00:57,7824,2.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP3375,Goa,Chennai,07:00,09:06,5945,2.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN4639,Mumbai,Ahmedabad,00:30,02:24,5798,1.9,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK3788,Ahmedabad,Mumbai,00:30,02:54,7548,2.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI6463,Bangalore,Kolkata,10:15,13:15,8091,3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK8588,Ahmedabad,Goa,20:00,21:54,5344,1.9,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK2686,Chennai,Kochi,19:45,21:15,5175,1.5,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
AirAsia India,AI9146,Kolkata,Mumbai,23:00,01:24,9408,2.4,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK2093,Kolkata,Pune,08:00,09:24,4740,1.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN8485,Lucknow,Mumbai,03:00,06:06,9281,3.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI7608,Hyderabad,Kochi,22:00,23:12,4432,1.2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI6582,Lucknow,Guwahati,11:00,14:12,10428,3.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI3899,Delhi,Mumbai,23:45,01:27,4627,1.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI4158,Goa,Pune,17:15,18:51,6212,1.6,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI9431,Goa,Hyderabad,11:15,12:57,4758,1.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
SpiceJet,SP8419,Kochi,Jaipur,02:00,03:06,3751,1.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI509,Goa,Lucknow,02:45,06:03,9335,3.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP2109,Delhi,Bangalore,00:30,03:54,10417,3.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI104,Chandigarh,Delhi,18:15,19:27,3272,1.2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI6548,Kochi,Jaipur,21:45,00:09,7490,2.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI9544,Goa,Delhi,19:15,22:21,11132,3.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI9847,Kolkata,Mumbai,19:30,21:12,6026,1.7,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
SpiceJet,SP768,Delhi,Guwahati,06:00,07:48,5626,1.8,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
SpiceJet,SP4801,Hyderabad,Mumbai,20:15,21:51,5899,1.6,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI5028,Srinagar,Delhi,19:30,22:24,10773,2.9,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI7962,Mumbai,Chennai,23:45,01:51,7933,2.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI5604,Delhi,Srinagar,11:00,13:48,9662,2.8,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
SpiceJet,SP2761,Chennai,Delhi,22:15,01:03,9884,2.8,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP8809,Srinagar,Guwahati,15:45,17:39,6357,1.9,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI1441,Ahmedabad,Jaipur,03:45,06:39,7977,2.9,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI6582,Pune,Delhi,09:15,11:51,7477,2.6,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
IndiGo,IN918,Chandigarh,Lucknow,23:30,00:54,4165,1.4,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK5165,Pune,Mumbai,14:30,16:00,4827,1.5,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK1392,Srinagar,Kochi,21:00,22:30,4378,1.5,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK9996,Chandigarh,Ahmedabad,04:15,06:33,8066,2.3,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI7079,Kolkata,Delhi,05:15,07:03,5661,1.8,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK2653,Jaipur,Ahmedabad,07:15,09:39,6700,2.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI4557,Hyderabad,Kochi,09:30,11:42,8498,2.2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI7640,Srinagar,Bangalore,03:30,06:48,9566,3.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Vistara,VI6442,Mumbai,Pune,22:00,00:42,7773,2.7,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
SpiceJet,SP9490,Kolkata,Ahmedabad,12:45,15:21,10358,2.6,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN9943,Mumbai,Chennai,14:45,18:09,10965,3.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI9511,Pune,Kolkata,14:30,16:12,6087,1.7,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK9187,Kolkata,Kochi,14:30,17:12,10654,2.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN749,Delhi,Pune,21:15,22:39,4155,1.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI4436,Srinagar,Kolkata,04:15,05:15,3250,1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
IndiGo,IN9346,Srinagar,Kochi,00:45,02:51,7767,2.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
SpiceJet,SP7684,Ahmedabad,Jaipur,22:00,00:48,9836,2.8,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK2222,Lucknow,Chennai,06:00,07:54,5141,1.9,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP9076,Pune,Mumbai,13:30,16:18,10348,2.8,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI8075,Hyderabad,Kolkata,13:45,16:45,9615,3,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI8408,Mumbai,Srinagar,18:00,20:30,7767,2.5,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN3133,Chandigarh,Chennai,14:45,16:09,4645,1.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK1914,Mumbai,Lucknow,12:45,15:33,10382,2.8,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
IndiGo,IN4514,Pune,Chennai,14:45,17:45,7785,3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Air India,AI8825,Kolkata,Srinagar,04:15,06:09,6099,1.9,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI1299,Chennai,Delhi,02:45,04:45,6034,2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI7912,Srinagar,Kolkata,10:15,12:51,7446,2.6,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN2343,Chandigarh,Srinagar,20:45,23:09,8587,2.4,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI4621,Goa,Guwahati,19:15,20:15,3326,1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN5066,Pune,Delhi,21:30,23:12,5411,1.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP9087,Chandigarh,Kolkata,11:30,13:06,4796,1.6,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
IndiGo,IN6852,Goa,Mumbai,01:30,04:24,10300,2.9,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Akasa Air,AK4175,Kolkata,Pune,11:00,13:06,7179,2.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
IndiGo,IN2479,Goa,Pune,06:30,09:36,11057,3.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI8060,Ahmedabad,Mumbai,06:45,08:15,4086,1.5,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP6726,Guwahati,Delhi,04:30,06:06,4696,1.6,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI3391,Mumbai,Kochi,19:00,20:42,5385,1.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI2889,Delhi,Guwahati,16:30,18:54,6328,2.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN6725,Hyderabad,Guwahati,10:45,12:09,3516,1.4,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI6045,Mumbai,Srinagar,13:15,16:09,8903,2.9,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
SpiceJet,SP3182,Pune,Lucknow,10:15,13:27,10969,3.2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
SpiceJet,SP7564,Kolkata,Lucknow,01:30,03:24,5650,1.9,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI4116,Hyderabad,Kolkata,14:15,15:57,6708,1.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI1558,Jaipur,Goa,19:30,22:12,6755,2.7,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK409,Pune,Hyderabad,12:45,15:57,9404,3.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI5326,Jaipur,Kolkata,18:45,21:45,11094,3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN3747,Kochi,Bangalore,21:15,23:45,7600,2.5,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI8446,Kochi,Chandigarh,07:45,09:15,5419,1.5,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
SpiceJet,SP795,Kochi,Srinagar,14:00,16:00,7070,2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI8520,Kochi,Srinagar,10:15,11:15,2616,1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP9880,Guwahati,Hyderabad,10:45,13:27,8820,2.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI1881,Goa,Guwahati,08:30,10:48,7622,2.3,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
IndiGo,IN1170,Guwahati,Chandigarh,01:00,02:54,7598,1.9,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN133,Chennai,Bangalore,01:30,04:18,10099,2.8,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI6855,Bangalore,Srinagar,03:30,06:00,7180,2.5,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK3912,Bangalore,Guwahati,00:45,03:21,7100,2.6,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Air India,AI7725,Chandigarh,Guwahati,13:45,17:09,12454,3.4,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
IndiGo,IN9235,Guwahati,Hyderabad,02:45,05:09,6422,2.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI9461,Kolkata,Guwahati,05:15,08:21,9588,3.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI1087,Guwahati,Kolkata,00:45,03:57,9974,3.2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI2474,Hyderabad,Delhi,17:00,20:18,10873,3.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN632,Ahmedabad,Kochi,10:45,12:03,3330,1.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP2701,Goa,Ahmedabad,19:00,22:06,9433,3.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI9248,Kochi,Jaipur,19:30,22:18,8279,2.8,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Air India,AI9828,Ahmedabad,Guwahati,01:30,04:06,8052,2.6,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK8177,Delhi,Srinagar,23:00,01:36,8242,2.6,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI9082,Ahmedabad,Jaipur,12:00,14:42,8545,2.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN1254,Srinagar,Ahmedabad,09:45,12:15,7522,2.5,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK5829,Guwahati,Kolkata,16:45,19:33,9917,2.8,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK3864,Ahmedabad,Mumbai,20:15,21:57,6609,1.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI2710,Pune,Srinagar,12:30,15:06,8434,2.6,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK7237,Guwahati,Delhi,00:15,03:33,10807,3.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Vistara,VI377,Srinagar,Chandigarh,18:00,19:06,4221,1.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
SpiceJet,SP3200,Srinagar,Kolkata,23:45,02:51,12155,3.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK3020,Mumbai,Bangalore,22:45,00:57,6795,2.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP8316,Guwahati,Jaipur,04:30,07:18,7274,2.8,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI7656,Delhi,Chennai,08:00,10:24,9249,2.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI4702,Pune,Hyderabad,05:30,07:54,6240,2.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN9744,Kochi,Delhi,01:00,02:24,4659,1.4,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
SpiceJet,SP6067,Ahmedabad,Delhi,21:45,23:51,8280,2.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
SpiceJet,SP2936,Bangalore,Goa,03:00,06:18,11256,3.3,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI2726,Chandigarh,Guwahati,18:30,21:30,8205,3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI1629,Kolkata,Lucknow,01:15,04:21,11249,3.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI5340,Hyderabad,Chandigarh,18:30,19:42,4131,1.2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI7048,Kolkata,Kochi,23:15,02:09,11510,2.9,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI3934,Mumbai,Guwahati,02:45,05:27,7843,2.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI9827,Jaipur,Delhi,11:00,14:00,11982,3,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK5936,Goa,Lucknow,13:00,15:18,8224,2.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Akasa Air,AK748,Ahmedabad,Kolkata,21:15,23:51,6741,2.6,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI3670,Goa,Hyderabad,09:15,11:33,8406,2.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI2006,Guwahati,Pune,00:15,03:21,8568,3.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI741,Guwahati,Mumbai,04:30,05:54,4179,1.4,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
IndiGo,IN5140,Mumbai,Chennai,13:00,14:12,4126,1.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI5084,Guwahati,Mumbai,19:45,22:33,7814,2.8,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN5435,Guwahati,Hyderabad,18:30,20:30,7062,2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI1840,Goa,Bangalore,15:00,17:06,7324,2.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Air India,AI7074,Hyderabad,Kochi,03:30,04:48,3867,1.3,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
SpiceJet,SP2079,Kolkata,Ahmedabad,15:00,16:24,4572,1.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN969,Kolkata,Goa,13:00,14:36,6236,1.6,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK954,Lucknow,Ahmedabad,11:30,12:36,3771,1.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK9478,Kolkata,Guwahati,19:15,21:09,5855,1.9,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP9278,Kolkata,Kochi,14:15,16:09,5776,1.9,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP1724,Guwahati,Kochi,23:30,01:18,5149,1.8,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI4659,Pune,Goa,06:30,08:06,4336,1.6,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
SpiceJet,SP5193,Hyderabad,Ahmedabad,06:30,09:30,9531,3,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI3428,Hyderabad,Guwahati,12:15,13:45,4689,1.5,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI4411,Jaipur,Pune,12:30,15:30,11826,3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN4063,Delhi,Pune,11:00,14:06,11584,3.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI6204,Ahmedabad,Jaipur,02:45,04:21,5595,1.6,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI3944,Bangalore,Goa,14:15,16:51,9887,2.6,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP2453,Guwahati,Mumbai,11:45,13:27,5103,1.7,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
IndiGo,IN3393,Chennai,Mumbai,20:30,23:42,9462,3.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
SpiceJet,SP2609,Chennai,Kochi,16:30,18:24,5937,1.9,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK4345,Goa,Srinagar,19:00,21:42,7589,2.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK707,Bangalore,Goa,23:00,01:42,7627,2.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI692,Kolkata,Jaipur,14:00,15:30,5739,1.5,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
SpiceJet,SP9534,Jaipur,Hyderabad,12:30,15:54,11777,3.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP7390,Chandigarh,Bangalore,01:15,03:03,6269,1.8,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN5489,Chennai,Hyderabad,17:15,20:09,10396,2.9,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK468,Delhi,Bangalore,07:45,10:21,10020,2.6,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
